no;Sampling;Planktotron;date;POP_Raw;POP_con;POP_extrakVol;POP_FiltVol;POP_conc_sample;POP_conc_microgramm_P_L;POP_conc_micromolP_L;POP_conc_mg_l
2019-1697;16;4;28.09.19;0,288;296,263;10;100;2,96263;29,6263;0,956612851;0,0296263
2019-1698;16;5;28.09.19;0,283;289,6355;10;100;2,896355;28,96355;0,935213109;0,02896355
2019-1698;16;5;28.09.19;0,284;290,961;10;100;2,90961;29,0961;0,939493058;0,0290961
2019-1698;16;5;28.09.19;0,286;293,612;10;100;2,93612;29,3612;0,948052954;0,0293612
2019-1699;16;6;28.09.19;0,281;286,9845;10;100;2,869845;28,69845;0,926653213;0,02869845
2019-1699;16;6;28.09.19;0,282;288,31;10;100;2,8831;28,831;0,930933161;0,028831
2019-1699;16;6;28.09.19;0,281;286,9845;10;100;2,869845;28,69845;0,926653213;0,02869845
2019-1700;16;7;28.09.19;0,222;208,78;10;100;2,0878;20,878;0,674136261;0,020878
2019-1700;16;7;28.09.19;0,226;214,082;10;100;2,14082;21,4082;0,691256054;0,0214082
2019-1700;16;7;28.09.19;0,23;219,384;10;100;2,19384;21,9384;0,708375848;0,0219384
2019-1701;16;8;28.09.19;0,222;208,78;10;100;2,0878;20,878;0,674136261;0,020878
2019-1701;16;8;28.09.19;0,22;206,129;10;100;2,06129;20,6129;0,665576364;0,0206129
2019-1701;16;8;28.09.19;0,217;202,1525;10;100;2,021525;20,21525;0,652736519;0,02021525
2019-1702;16;9;28.09.19;0,211;194,1995;10;100;1,941995;19,41995;0,627056829;0,01941995
2019-1702;16;9;28.09.19;0,209;191,5485;10;100;1,915485;19,15485;0,618496933;0,01915485
2019-1702;16;9;28.09.19;0,21;192,874;10;100;1,92874;19,2874;0,622776881;0,0192874
2019-1703;16;10;28.09.19;0,247;241,9175;10;100;2,419175;24,19175;0,781134969;0,02419175
2019-1703;16;10;28.09.19;0,259;257,8235;10;100;2,578235;25,78235;0,832494349;0,02578235
2019-1703;16;10;28.09.19;0,256;253,847;10;100;2,53847;25,3847;0,819654504;0,0253847
2019-1704;16;11;28.09.19;0,275;279,0315;10;100;2,790315;27,90315;0,900973523;0,02790315
2019-1704;16;11;28.09.19;0,276;280,357;10;100;2,80357;28,0357;0,905253471;0,0280357
2019-1704;16;11;28.09.19;0,27;272,404;10;100;2,72404;27,2404;0,879573781;0,0272404
2019-1705;16;12;28.09.19;0,265;265,7765;10;100;2,657765;26,57765;0,858174039;0,02657765
2019-1705;16;12;28.09.19;0,265;265,7765;10;100;2,657765;26,57765;0,858174039;0,02657765
2019-1705;16;12;28.09.19;0,264;264,451;10;100;2,64451;26,4451;0,853894091;0,0264451
2019-1718;18;1;02.10.19;0,219;204,8035;10;100;2,048035;20,48035;0,661296416;0,02048035
2019-1718;18;1;02.10.19;0,213;196,8505;10;100;1,968505;19,68505;0,635616726;0,01968505
2019-1718;18;1;02.10.19;0,215;199,5015;10;100;1,995015;19,95015;0,644176623;0,01995015
2019-1719;18;2;02.10.19;0,282;288,31;10;100;2,8831;28,831;0,930933161;0,028831
2019-1719;18;2;02.10.19;0,287;294,9375;10;100;2,949375;29,49375;0,952332903;0,02949375
2019-1719;18;2;02.10.19;0,282;288,31;10;100;2,8831;28,831;0,930933161;0,028831
2019-1720;18;3;02.10.19;0,224;211,431;10;100;2,11431;21,1431;0,682696158;0,0211431
2019-1720;18;3;02.10.19;0,227;215,4075;10;100;2,154075;21,54075;0,695536003;0,02154075
2019-1720;18;3;02.10.19;0,311;326,7495;10;100;3,267495;32,67495;1,055051663;0,03267495
2019-1721;18;4;02.10.19;0,272;275,055;10;100;2,75055;27,5055;0,888133678;0,0275055
2019-1721;18;4;02.10.19;0,271;273,7295;10;100;2,737295;27,37295;0,883853729;0,02737295
2019-1721;18;4;02.10.19;0,269;271,0785;10;100;2,710785;27,10785;0,875293833;0,02710785
2019-1722;18;5;02.10.19;0,285;292,2865;10;100;2,922865;29,22865;0,943773006;0,02922865
2019-1722;18;5;02.10.19;0,289;297,5885;10;100;2,975885;29,75885;0,960892799;0,02975885
2019-1722;18;5;02.10.19;0,289;297,5885;10;100;2,975885;29,75885;0,960892799;0,02975885
2019-1723;18;6;02.10.19;0,339;363,8635;10;100;3,638635;36,38635;1,174890216;0,03638635
2019-1723;18;6;02.10.19;0,333;355,9105;10;100;3,559105;35,59105;1,149210526;0,03559105
2019-1723;18;6;02.10.19;0,337;361,2125;10;100;3,612125;36,12125;1,16633032;0,03612125
2019-1724;18;7;02.10.19;0,257;255,1725;10;100;2,551725;25,51725;0,823934453;0,02551725
2019-1724;18;7;02.10.19;0,234;224,686;10;100;2,24686;22,4686;0,725495641;0,0224686
2019-1724;18;7;02.10.19;0,241;233,9645;10;100;2,339645;23,39645;0,755455279;0,02339645
2019-1725;18;8;02.10.19;0,243;236,6155;10;100;2,366155;23,66155;0,764015176;0,02366155
2019-1725;18;8;02.10.19;0,24;232,639;10;100;2,32639;23,2639;0,751175331;0,0232639
2019-1725;18;8;02.10.19;0,24;232,639;10;100;2,32639;23,2639;0,751175331;0,0232639
2019-1726;18;9;02.10.19;0,211;194,1995;10;100;1,941995;19,41995;0,627056829;0,01941995
2019-1726;18;9;02.10.19;0,207;188,8975;10;100;1,888975;18,88975;0,609937036;0,01888975
2019-1726;18;9;02.10.19;0,199;178,2935;10;100;1,782935;17,82935;0,575697449;0,01782935
2019-1727;18;10;02.10.19;0,23;219,384;10;100;2,19384;21,9384;0,708375848;0,0219384
2019-1727;18;10;02.10.19;0,244;237,941;10;100;2,37941;23,7941;0,768295124;0,0237941
2019-1727;18;10;02.10.19;0,244;237,941;10;100;2,37941;23,7941;0,768295124;0,0237941
2019-1728;18;11;02.10.19;0,277;281,6825;10;100;2,816825;28,16825;0,909533419;0,02816825
2019-1728;18;11;02.10.19;0,279;284,3335;10;100;2,843335;28,43335;0,918093316;0,02843335
2019-1728;18;11;02.10.19;0,279;284,3335;10;100;2,843335;28,43335;0,918093316;0,02843335
2019-1729;18;12;02.10.19;0,28;285,659;10;100;2,85659;28,5659;0,922373264;0,0285659
2019-1729;18;12;02.10.19;0,281;286,9845;10;100;2,869845;28,69845;0,926653213;0,02869845
2019-1729;18;12;02.10.19;0,278;283,008;10;100;2,83008;28,3008;0,913813368;0,0283008
