Probe;Nitrat+Nitrit_ug_l;Nitrat+Nitrit_umol_l;Silikat_ug_l;Silikat_umol_l;Phosphat__ug_l;Phosphat_umol_l;Tag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P3;0,08;0,00;88,21;3,14;8,68;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440538;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;0,49;0,01;83,68;2,98;9,19;0,10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440539;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;2,80;0,05;68,01;2,42;9,34;0,10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440541;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;1,42;0,02;58,59;2,09;8,65;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440542;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;1,38;0,02;74,11;2,64;10,04;0,11;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440543;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;0,48;0,01;83,24;2,96;9,29;0,10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440544;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;0,42;0,01;82,39;2,93;9,80;0,10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440545;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;0,42;0,01;63,92;2,28;9,15;0,10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440546;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;0,07;0,00;88,44;3,15;8,57;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217728;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;0,11;0,00;49,67;1,77;8,76;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217729;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;0,27;0,00;185,39;6,60;13,33;0,14;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217730;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;3,92;0,06;140,46;5,00;8,58;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217731;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;0,13;0,00;182,97;6,51;8,70;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217732;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;5,19;0,08;108,01;3,85;8,47;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217733;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;1,74;0,03;70,57;2,51;8,16;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217734;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;3,69;0,06;341,84;12,17;8,73;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217735;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
Drift;101,42;1,64;79,93;2,85;80,04;0,84;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waschen;1,49;0,02;-0,46;-0,02;0,05;0,00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P7;0,24;0,00;96,48;3,44;8,53;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217736;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;0,48;0,01;96,98;3,45;15,96;0,17;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217737;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;0,16;0,00;249,78;8,89;8,91;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217738;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;0,01;0,00;193,60;6,89;8,26;0,09;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217739;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;0,91;0,01;77,95;2,78;8,00;0,08;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217740;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;0,09;0,00;132,98;4,73;9,56;0,10;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217741;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;43,44;0,70;83,68;2,98;12,23;0,13;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217742;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;26,75;0,43;59,45;2,12;11,12;0,12;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217743;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;42,24;0,68;7,34;0,26;8,36;0,09;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217744;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;40,34;0,65;13,42;0,48;11,51;0,12;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217745;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;28,38;0,46;165,37;5,89;14,15;0,15;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217746;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;56,93;0,92;161,49;5,75;17,66;0,19;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217747;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;48,15;0,78;166,64;5,93;26,57;0,28;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217748;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;50,20;0,81;166,62;5,93;14,06;0,15;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217749;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;41,18;0,66;163,17;5,81;14,15;0,15;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217750;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;44,87;0,72;92,59;3,30;8,71;0,09;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217751;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;42,19;0,68;148,19;5,28;9,80;0,10;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217752;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;39,23;0,63;82,56;2,94;8,83;0,09;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217753;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;0,98;0,02;136,27;4,85;7,85;0,08;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217754;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;0,01;0,00;122,07;4,35;9,02;0,10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217755;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;0,84;0,01;237,30;8,45;7,87;0,08;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217756;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;0,01;0,00;249,30;8,88;8,38;0,09;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217757;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;0,03;0,00;245,75;8,75;7,86;0,08;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217758;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;0,03;0,00;299,21;10,65;8,54;0,09;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217759;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;0,05;0,00;276,32;9,84;7,98;0,08;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217760;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;0,04;0,00;245,88;8,75;8,03;0,08;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217761;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;8,09;0,13;263,70;9,39;8,60;0,09;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134217762;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;0,07;0,00;202,60;7,21;8,73;0,09;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994944;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;0,53;0,01;245,58;8,74;8,64;0,09;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994945;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;0,05;0,00;133,94;4,77;8,23;0,09;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994946;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;0,75;0,01;220,41;7,85;7,98;0,08;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994947;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;0,55;0,01;214,37;7,63;7,79;0,08;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994948;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;0,95;0,02;349,64;12,45;8,70;0,09;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994949;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;0,06;0,00;365,97;13,03;8,23;0,09;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994950;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;0,21;0,00;332,29;11,83;9,01;0,09;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994951;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;0,29;0,00;414,35;14,75;8,05;0,08;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994952;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;0,69;0,01;377,39;13,44;8,03;0,08;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994953;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;0,64;0,01;323,26;11,51;8,27;0,09;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994954;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;0,94;0,02;391,83;13,95;9,06;0,10;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994955;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;0,71;0,01;347,17;12,36;8,78;0,09;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994956;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;0,50;0,01;311,48;11,09;7,97;0,08;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994957;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;1,02;0,02;201,64;7,18;8,21;0,09;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994958;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
Drift;101,42;1,64;79,93;2,85;80,04;0,84;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waschen;1,49;0,02;-0,46;-0,02;0,05;0,00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P1;10,74;0,17;321,13;11,43;8,67;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994959;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;5,63;0,09;294,57;10,49;8,24;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994960;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;0,69;0,01;377,21;13,43;10,40;0,11;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994961;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;1,71;0,03;501,11;17,84;8,65;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994962;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;1,20;0,02;369,84;13,17;7,93;0,08;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994963;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
