Probe;Nitrat+Nitrit_ug_l;Nitrat+Nitrit_umol_l;Silikat_ug_l;Silikat_umol_l;Phosphat__ug_l;Phosphat_umol_l;Tag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P6;8,86;0,14;663,82;23,64;9,16;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772169;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;12,00;0,19;647,94;23,07;9,09;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772170;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;24,55;0,40;623,12;22,19;14,39;0,15;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772171;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;6,82;0,11;509,91;18,16;8,78;0,09;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772172;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;6,13;0,10;475,50;16,93;9,13;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772173;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;17,35;0,28;635,68;22,63;9,86;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772174;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;8,21;0,13;267,64;9,53;8,59;0,09;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772175;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
Drift;101,42;;79,93;;80,04;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waschen;1,49;;-0,46;;0,05;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Endbasislinie;1,49;;-0,46;;0,05;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
